row_idx,scenario_id_scenarios_csv,scenario_id_affect_csv,matched_by,match_ok,fallback_used
0,p1_n1,p1_n1,direct_text_va_emo_row,True,False
1,p1_n2,p1_n2,direct_text_va_emo_row,True,False
2,p1_n3,p1_n3,direct_text_va_emo_row,True,False
3,p1_n4,p1_n4,direct_text_va_emo_row,True,False
4,p1_n5,p1_n5,direct_text_va_emo_row,True,False
5,p1_n6,p1_n6,direct_text_va_emo_row,True,False
6,p1_n7,p1_n7,direct_text_va_emo_row,True,False
7,p1_n8,p1_n8,direct_text_va_emo_row,True,False
8,p1_n9,p1_n9,direct_text_va_emo_row,True,False
9,p1_n10,p1_n10,direct_text_va_emo_row,True,False
10,p1_n11,p1_n11,direct_text_va_emo_row,True,False
11,p1_n12,p1_n12,direct_text_va_emo_row,True,False
12,p1_n13,p1_n13,direct_text_va_emo_row,True,False
13,p1_n14,p1_n14,direct_text_va_emo_row,True,False
14,p1_n15,p1_n15,direct_text_va_emo_row,True,False
15,p1_n16,p1_n16,direct_text_va_emo_row,True,False
16,p1_n17,p1_n17,direct_text_va_emo_row,True,False
17,p1_n18,p1_n18,direct_text_va_emo_row,True,False
18,p1_n19,p1_n19,direct_text_va_emo_row,True,False
19,p1_n20,p1_n20,direct_text_va_emo_row,True,False
20,p2_n21,p2_n21,direct_text_va_emo_row,True,False
21,p2_n22,p2_n22,direct_text_va_emo_row,True,False
22,p2_n23,p2_n23,direct_text_va_emo_row,True,False
23,p2_n24,p2_n24,direct_text_va_emo_row,True,False
24,p2_n25,p2_n25,direct_text_va_emo_row,True,False
25,p2_n26,p2_n26,direct_text_va_emo_row,True,False
26,p2_n27,p2_n27,direct_text_va_emo_row,True,False
27,p2_n28,p2_n28,direct_text_va_emo_row,True,False
28,p2_n29,p2_n29,direct_text_va_emo_row,True,False
29,p2_n30,p2_n30,direct_text_va_emo_row,True,False
30,p2_n31,p2_n31,direct_text_va_emo_row,True,False
31,p2_n32,p2_n32,direct_text_va_emo_row,True,False
32,p2_n33,p2_n33,direct_text_va_emo_row,True,False
33,p2_n34,p2_n34,direct_text_va_emo_row,True,False
34,p2_n35,p2_n35,direct_text_va_emo_row,True,False
35,p2_n36,p2_n36,direct_text_va_emo_row,True,False
36,p2_n37,p2_n37,direct_text_va_emo_row,True,False
37,p2_n38,p2_n38,direct_text_va_emo_row,True,False
38,p2_n39,p2_n39,direct_text_va_emo_row,True,False
39,p2_n40,p2_n40,direct_text_va_emo_row,True,False
40,p3_n41,p3_n41,direct_text_va_emo_row,True,False
41,p3_n42,p3_n42,direct_text_va_emo_row,True,False
42,p3_n43,p3_n43,direct_text_va_emo_row,True,False
43,p3_n44,p3_n44,direct_text_va_emo_row,True,False
44,p3_n45,p3_n45,direct_text_va_emo_row,True,False
45,p3_n46,p3_n46,direct_text_va_emo_row,True,False
46,p3_n47,p3_n47,direct_text_va_emo_row,True,False
47,p3_n48,p3_n48,direct_text_va_emo_row,True,False
48,p3_n49,p3_n49,direct_text_va_emo_row,True,False
49,p3_n50,p3_n50,direct_text_va_emo_row,True,False
50,p3_n51,p3_n51,direct_text_va_emo_row,True,False
51,p3_n52,p3_n52,direct_text_va_emo_row,True,False
52,p3_n53,p3_n53,direct_text_va_emo_row,True,False
53,p3_n54,p3_n54,direct_text_va_emo_row,True,False
54,p3_n55,p3_n55,direct_text_va_emo_row,True,False
55,p3_n56,p3_n56,direct_text_va_emo_row,True,False
56,p3_n57,p3_n57,direct_text_va_emo_row,True,False
57,p3_n58,p3_n58,direct_text_va_emo_row,True,False
58,p3_n59,p3_n59,direct_text_va_emo_row,True,False
59,p3_n60,p3_n60,direct_text_va_emo_row,True,False
60,p4_n61,p4_n61,direct_text_va_emo_row,True,False
61,p4_n62,p4_n62,direct_text_va_emo_row,True,False
62,p4_n63,p4_n63,direct_text_va_emo_row,True,False
63,p4_n64,p4_n64,direct_text_va_emo_row,True,False
64,p4_n65,p4_n65,direct_text_va_emo_row,True,False
65,p4_n66,p4_n66,direct_text_va_emo_row,True,False
66,p4_n67,p4_n67,direct_text_va_emo_row,True,False
67,p4_n68,p4_n68,direct_text_va_emo_row,True,False
68,p4_n69,p4_n69,direct_text_va_emo_row,True,False
69,p4_n70,p4_n70,direct_text_va_emo_row,True,False
70,p4_n71,p4_n71,direct_text_va_emo_row,True,False
71,p4_n72,p4_n72,direct_text_va_emo_row,True,False
72,p4_n73,p4_n73,direct_text_va_emo_row,True,False
73,p4_n74,p4_n74,direct_text_va_emo_row,True,False
74,p4_n75,p4_n75,direct_text_va_emo_row,True,False
75,p4_n76,p4_n76,direct_text_va_emo_row,True,False
76,p4_n77,p4_n77,direct_text_va_emo_row,True,False
77,p4_n78,p4_n78,direct_text_va_emo_row,True,False
78,p4_n79,p4_n79,direct_text_va_emo_row,True,False
79,p4_n80,p4_n80,direct_text_va_emo_row,True,False
